Codice;Barcode;Descrizione;Fornitore;Quantità;Unità di misura;Prezzo acquisto;Prezzo vendita;Peso lordo (KG);Volume (M3);Categoria;Sottocategoria;Ubicazione;Note
52255;BR52255;SOTTOPIATTO GLITTER CHAMPAGNE SET 4 PZ PP;Brandani;3;;;23,9;;;Natale;tavola natalizia;;
52336;BR52336;VASSOIO LE BACCHE PORCELLANA;Brandani;1;;;45;;;Natale;tavola natalizia;;
52338;BR52338;PIATTO PORTATA LE BACCHE PORCELLANA;Brandani;1;;;21,5;;;Natale;tavola natalizia;;
52371;BR52371;TAVOLA 18 PZ CONNUBIO PORCELLANA;Brandani;2;;;119;;;Natale;tavola natalizia;;
52373;BR52373;TAZZINA CAFFE CONNUBIO SET 2 PZ PORCELLANA;Brandani;3;;;17;;;Natale;tavola natalizia;;
52376;BR52376;ZUCCHERIERA CONNUBIO PORCELLANA;Brandani;2;;;10,5;;;Natale;tavola natalizia;;
52379;BR52379;ALZATA STELLA CONNUBIO PORCELLANA;Brandani;1;;;42;;;Natale;tavola natalizia;;
52380;BR52380;FORCHETTINA CONNUBIO OLD GOLD SET 6 PZ INOX CON MANICO IN CERAMICA;Brandani;2;;;33;;;Natale;tavola natalizia;;
52381;BR52381;CUCCHIAINO CONNUBIO OLD GOLD SET 6 PZ INOX CON MANICO CERAMICA;Brandani;2;;;33;;;Natale;tavola natalizia;;
52388;BR52388;VUOTATASCHE CONNUBIO PORCELLANA;Brandani;2;;;9,9;;;Natale;oggettistica natalizia;;
52389;BR52389;VASSOIO CONNUBIO PORCELLANA;Brandani;2;;;26;;;Natale;tavola natalizia;;
52390;BR52390;VASSOIO STELLA CONNUBIO PORCELLANA;Brandani;2;;;19,5;;;Natale;tavola natalizia;;
52391;BR52391;ANTIPASTIERA ALBERO CONNUBIO PORCELLANA;Brandani;2;;;23,5;;;Natale;tavola natalizia;;
52393;BR52393;PIATTO PORTATA CONNUBIO PORCELLANA;Brandani;1;;;29;;;Natale;tavola natalizia;;
52396;BR52396;ALZATA CONNUBIO PORCELLANA CON CUPOLA IN VETRO;Brandani;1;;;49,9;;;Natale;tavola natalizia;;
52410;BR52410;TAVOLA 18 PZ BATUFFOLI PORCELLANA;Brandani;2;;;119;;;Natale;tavola natalizia;;
52414;BR52414;ZUCCHERIERA BATUFFOLI PORCELLANA;Brandani;2;;;12;;;Natale;tavola natalizia;;
52415;BR52415;PIATTO PORTATA BATUFFOLI PORCELLANA;Brandani;2;;;24,9;;;Natale;tavola natalizia;;
53973;BR53973;SOTTOPIATTO SMERLATO ORO SET 4 PZ;Brandani;3;;;19,9;;;Natale;tavola natalizia;;
82647;BR82647;BABBO NATALE CON ABETE PORCELLANA;Brandani;2;;;72;;;Natale;oggettistica natalizia;;
82652;BR82652;BABBO NATALE CON SACCO RESINA;Brandani;1;;;65,9;;;Natale;oggettistica natalizia;;
82667;BR82667;PACCHI DONO CHAMPAGNE 3 PZ C/LED;Brandani;1;;;70;;;Natale;oggettistica natalizia;;
82708;BR82708;CANDELIERE/CENTROTAVOLA FOGLIA DORATO RESINA;Brandani;2;;;49,9;;;Natale;oggettistica natalizia;;
83038;BR83038;PALLINA NATALE ARTIGIANALE 6 DECORI ASSORTITI VETRO SOFFIATO;Brandani;12;;;13;;;Natale;decorazione natalizia;;
83268;BR83268;SFERA FOGLIA DORATA VETRO;Brandani;4;;;6,9;;;Natale;decorazione natalizia;;
83270;BR83270;SFERA RETRO' VETRO;Brandani;4;;;7,5;;;Natale;decorazione natalizia;;
83291;BR83291;DECORAZIONE PERLAGE PLASTIC;Brandani;1;;;12,9;;;Natale;decorazione natalizia;;
83628;BR83628;BABBO NATALE SU SLITTA CON RENNE E LED RESINA;Brandani;1;;;89;;;Natale;oggettistica natalizia;;
83670;BR83670;BABBO NATALE SU CAVALLO PORCELLANA;Brandani;2;;;89;;;Natale;oggettistica natalizia;;
83672;BR83672;TRENINO GINGER BREAD;Brandani;1;;;49,9;;;Natale;oggettistica natalizia;;
83679;BR83679;ALBERO GINGER BREAD;Brandani;1;;;49;;;Natale;oggettistica natalizia;;
83688;BR83688;SCHIACCIANOCI LEGNO 38;Brandani;2;;;37;;;Natale;oggettistica natalizia;;
83689;BR83689;SCHIACCIANOCI LEGNO;Brandani;2;;;55,74;;;Natale;oggettistica natalizia;;
83690;BR83690;SCHIACCIANOCI LEGNO;Brandani;2;;;53;;;Natale;oggettistica natalizia;;
83692;BR83692;SCHIACCIANOCI LEGNO;Brandani;2;;;22,87;;;Natale;oggettistica natalizia;;
83693;BR83693;SCHIACCIANOCI LEGNO;Brandani;2;;;45;;;Natale;oggettistica natalizia;;
83695;BR83695;CENTROTAVOLA CHAMPAGNE METAL;Brandani;1;;;49,9;;;Natale;tavola natalizia;;
83696;BR83696;COPPA INTARSIO CHAMPAGNE;Brandani;1;;;55;;;Natale;tavola natalizia;;
83732;BR83732;BABBO NATALE CON ORSO;Brandani;2;;;22;;;Natale;oggettistica natalizia;;
83735;BR83735;BABBO NATALE CON SCI;Brandani;1;;;259;;;Natale;oggettistica natalizia;;
84200;BR84200;LANTERNA ROSONE SET 2 PZ METAL;Brandani;1;;;149;;;Natale;oggettistica natalizia;;
84204;BR84204;COPPA CHAMPAGNE METAL;Brandani;1;;;59;;;Natale;tavola natalizia;;
84211;BR84211;BABBO NATALE C/RENNA E SCOIATTOLO RESINA;Brandani;1;;;59;;;Natale;oggettistica natalizia;;
84214;BR84214;LOCOMOTIVA CON BABBO NATALE PORCELLANA;Brandani;2;;;79;;;Natale;oggettistica natalizia;;
84215;BR84215;BABBO NATALE SU SLITTA CON RENNE PORCELLANA;Brandani;2;;;95;;;Natale;oggettistica natalizia;;
84216;BR84216;SCATOLA DONO PORCELLANA;Brandani;2;;;14;;;Natale;oggettistica natalizia;;
84217;BR84217;SCATOLA DONO PORCELLANA;Brandani;2;;;24;;;Natale;oggettistica natalizia;;
84218;BR84218;SCATOLA DONO PORCELLANA;Brandani;2;;;31;;;Natale;oggettistica natalizia;;
84219;BR84219;TRENO DI NATALE PORCELLANA;Brandani;2;;;33;;;Natale;oggettistica natalizia;;
84229;BR84229;CARILLON CANTICO NATALIZIO PORCELLANA;Brandani;2;;;35;;;Natale;oggettistica natalizia;;
84230;BR84230;CARILLON GIOSTRA IN MOVIMENTO RESINA;Brandani;1;;;63;;;Natale;oggettistica natalizia;;
84232;BR84232;CARILLON BABBO NATALE PORCELLANA;Brandani;2;;;32;;;Natale;oggettistica natalizia;;
84252;BR84252;LO SCHIACCIANOCI ORO LEGNO;Brandani;2;;;38;;;Natale;oggettistica natalizia;;
85030;BR85030;DECORO PUNTA;Brandani;4;;;7,5;;;Natale;decorazione natalizia;;
85031;BR85031;DECORO GOCCIA;Brandani;4;;;7,5;;;Natale;decorazione natalizia;;
85032;BR85032;DECORO CON GLITTER;Brandani;4;;;7,5;;;Natale;decorazione natalizia;;
85034;BR85034;DISCO CON STRASS;Brandani;4;;;7;;;Natale;decorazione natalizia;;
85042;BR85042;TROTTOLA DECORATION;Brandani;4;;;7;;;Natale;decorazione natalizia;;
85043;BR85043;CIPOLLA DIAMOND DECORATIN;Brandani;4;;;8,5;;;Natale;decorazione natalizia;;
85044;BR85044;SFERA GRECA CON ROMBI;Brandani;4;;;7;;;Natale;decorazione natalizia;;
85058;BR85058;GIOSTRA DI NATALE CON MUSICA E MOVIMENTO;Brandani;1;;;199;;;Natale;oggettistica natalizia;;
85059;BR85059;NATIVITA' SET 2 PZ RESINA/TESSUTO;Brandani;1;;;149;;;Natale;nativit� e presepi;;
